Label,AspectRatio,PercentFilled, HuMoment1, HuMoment2, HuMoment3
remote,3.39497,0.967514,0.311014,0.0691055,4.60062e-05
ball,1.23944,0.806098,0.164008,0.00145375,1.71914e-05
remote,3.38776,0.968153,0.310332,0.0686766,4.50317e-05
ball,1.23776,0.802023,0.164098,0.0014819,1.81282e-05
remote,3.93813,0.983363,0.347309,0.0931335,1.48951e-06
ball,1.22378,0.807033,0.162747,0.00101297,2.30178e-05
perfume,1.42857,0.786152,0.180887,0.00373537,0.000940425
perfume,1.43878,0.78253,0.18116,0.00385824,0.000956291
perfume,1.53999,0.785887,0.188045,0.00679941,0.0008242
perfume,1.44272,0.794307,0.181063,0.00415782,0.000898873
star,1.08267,0.554908,0.174764,0.000361442,6.26182e-05
star,1.16544,0.55994,0.179392,0.000744844,0.00017478
star,1.01362,0.570221,0.174274,6.62597e-06,3.57562e-05
pen,10.78,0.654909,1.23834,1.50035,0.0988011
pen,11.1446,0.588685,1.36629,1.82865,0.276298
pen,10.4121,0.651715,1.26624,1.56891,0.101884
perfume,1.30982,0.722208,0.182163,0.00206994,0.000624903
perfume,1.57061,0.767726,0.183071,0.00459807,0.00060245
ball,1.35244,0.803086,0.168005,0.0026101,2.77542e-05
ball,1.21034,0.790758,0.16375,0.00116334,6.16578e-05
remote,2.60969,0.837453,0.262,0.039846,6.93062e-05
remote,2.62149,0.832154,0.262516,0.0399452,6.25116e-05
remote,2.50814,0.815496,0.254727,0.0357383,7.95261e-05
perfume,1.21225,0.72392,0.169212,0.000595293,0.000561266
ball,1.32438,0.780172,0.173836,0.00290121,0.000277556
ball,1.32346,0.780145,0.173864,0.00290717,0.000276979
